,Возраст (лет),мужчины,женщины,region
114,,,,Республика Алтай
115,моложе трудоспособного,31477.0,29816.0,Республика Алтай
116,трудоспособного,60872.0,58009.0,Республика Алтай
117,старше трудоспособного,12217.0,27790.0,Республика Алтай
0,0,3458.0,3216.0,Республика Марий Эл
1,1,3705.0,3637.0,Республика Марий Эл
2,2,4083.0,3984.0,Республика Марий Эл
3,0-2,11246.0,10837.0,Республика Марий Эл
4,3,4744.0,4636.0,Республика Марий Эл
5,4,4974.0,4735.0,Республика Марий Эл
6,0-4,20964.0,20208.0,Республика Марий Эл
7,5,5034.0,4771.0,Республика Марий Эл
8,3-5,14752.0,14142.0,Республика Марий Эл
9,6,5084.0,4788.0,Республика Марий Эл
10,1-6,27624.0,26551.0,Республика Марий Эл
11,7,4947.0,4679.0,Республика Марий Эл
12,8,4616.0,4314.0,Республика Марий Эл
13,9,4414.0,4146.0,Республика Марий Эл
14,5-9,24095.0,22698.0,Республика Марий Эл
15,10,4332.0,4206.0,Республика Марий Эл
16,11,4222.0,4126.0,Республика Марий Эл
17,12,4108.0,3940.0,Республика Марий Эл
18,13,3832.0,3365.0,Республика Марий Эл
19,8-13,25524.0,24097.0,Республика Марий Эл
20,0-13,61553.0,58543.0,Республика Марий Эл
21,14,3579.0,3463.0,Республика Марий Эл
22,10-14,20073.0,19100.0,Республика Марий Эл
23,0-14,65132.0,62006.0,Республика Марий Эл
24,15,3692.0,3496.0,Республика Марий Эл
25,14-15,7271.0,6959.0,Республика Марий Эл
26,16,3729.0,3314.0,Республика Марий Эл
27,17,3488.0,3314.0,Республика Марий Эл
28,16-17,7217.0,6628.0,Республика Марий Эл
29,0-17,76041.0,72130.0,Республика Марий Эл
30,18,3272.0,3136.0,Республика Марий Эл
31,19,3536.0,3210.0,Республика Марий Эл
32,15-19,17717.0,16470.0,Республика Марий Эл
33,20,3426.0,3116.0,Республика Марий Эл
34,21,3337.0,3125.0,Республика Марий Эл
35,22,3268.0,3083.0,Республика Марий Эл
36,23,3522.0,3137.0,Республика Марий Эл
37,24,3593.0,3272.0,Республика Марий Эл
38,20-24,17146.0,15733.0,Республика Марий Эл
39,25,3862.0,3546.0,Республика Марий Эл
40,26,3833.0,3410.0,Республика Марий Эл
41,27,4193.0,3645.0,Республика Марий Эл
42,28,4281.0,4277.0,Республика Марий Эл
43,29,4860.0,4851.0,Республика Марий Эл
44,25-29,21029.0,19729.0,Республика Марий Эл
45,20-29,38175.0,35462.0,Республика Марий Эл
46,16-29,52200.0,48436.0,Республика Марий Эл
47,30,5372.0,5182.0,Республика Марий Эл
48,31,6072.0,5435.0,Республика Марий Эл
49,32,6474.0,5792.0,Республика Марий Эл
50,33,6289.0,5987.0,Республика Марий Эл
51,34,5761.0,5610.0,Республика Марий Эл
